MP Name,mpConstituency,Party,MP Page Reference
Ranil Jayawardena,North East Hampshire,Conservative,/wiki/Ranil_Jayawardena
Sir Oliver Heald,North East Hertfordshire,Conservative,/wiki/Oliver_Heald
The Hon. Jacob Rees-Mogg,North East Somerset,Conservative,/wiki/Jacob_Rees-Mogg
Bill Wiggin,North Herefordshire,Conservative,/wiki/Bill_Wiggin
Norman Lamb,North Norfolk,Liberal Democrats,/wiki/Norman_Lamb
Owen Paterson,North Shropshire,Conservative,/wiki/Owen_Paterson
Liam Fox,North Somerset,Conservative,/wiki/Liam_Fox
Justin Tomlinson,North Swindon,Conservative,/wiki/Justin_Tomlinson
Sir Roger Gale,North Thanet,Conservative,/wiki/Roger_Gale
Mary Glindon,North Tyneside,Labour,/wiki/Mary_Glindon
Craig Tracey,North Warwickshire,Conservative,/wiki/Craig_Tracey
Shailesh Vara,North West Cambridgeshire,Conservative,/wiki/Shailesh_Vara
Laura Pidcock,North West Durham,Labour,/wiki/Laura_Pidcock
Kit Malthouse,North West Hampshire,Conservative,/wiki/Kit_Malthouse
Andrew Bridgen,North West Leicestershire,Conservative,/wiki/Andrew_Bridgen
Sir Henry Bellingham,North West Norfolk,Conservative,/wiki/Henry_Bellingham_(Norfolk_MP)
James Gray,North Wiltshire,Conservative,/wiki/James_Gray_(British_politician)
Michael Ellis,Northampton North,Conservative,/wiki/Michael_Ellis_(British_politician)
Andrew Lewer,Northampton South,Conservative,/wiki/Andrew_Lewer
Chloe Smith,Norwich North,Conservative,/wiki/Chloe_Smith
Clive Lewis,Norwich South,Labour,/wiki/Clive_Lewis_(politician)
Chris Leslie,Nottingham East,Labour Co-operative,/wiki/Chris_Leslie_(politician)
Alex Norris,Nottingham North,Labour,/wiki/Alex_Norris
Lilian Greenwood,Nottingham South,Labour,/wiki/Lilian_Greenwood
Marcus Jones,Nuneaton,Conservative,/wiki/Marcus_Jones_(British_politician)
Luke Graham,Ochil and South Perthshire,SNP,/wiki/Luke_Graham_(politician)
Chris Elmore,Ogmore,Labour,/wiki/Chris_Elmore
James Brokenshire,Old Bexley and Sidcup,Conservative,/wiki/James_Brokenshire
Debbie Abrahams,Oldham East and Saddleworth,Labour,/wiki/Debbie_Abrahams
Jim McMahon,Oldham West and Royton,Labour,/wiki/Jim_McMahon_(politician)
Alistair Carmichael,Orkney and Shetland,Liberal Democrats,/wiki/Alistair_Carmichael
Jo Johnson,Orpington,Conservative,/wiki/Jo_Johnson
Anneliese Dodds,Oxford East,Labour,/wiki/Anneliese_Dodds
Layla Moran,Oxford West and Abingdon,Conservative,/wiki/Layla_Moran
Gavin Newlands,Paisley and Renfrewshire North,SNP,/wiki/Gavin_Newlands
Mhairi Black,Paisley and Renfrewshire South,SNP,/wiki/Mhairi_Black
Andrew Stephenson,Pendle,Conservative,/wiki/Andrew_Stephenson
Angela Smith,Penistone and Stocksbridge,Labour,/wiki/Angela_Christine_Smith
Rory Stewart,Penrith and The Border,Conservative,/wiki/Rory_Stewart
Pete Wishart,Perth and North Perthshire,SNP,/wiki/Pete_Wishart
Fiona Onasanya,Peterborough,Conservative,/wiki/Fiona_Onasanya
Johnny Mercer,"Plymouth, Moor View",Conservative,/wiki/Johnny_Mercer_(politician)
Luke Pollard,"Plymouth, Sutton and Devonport",Conservative,/wiki/Luke_Pollard
Owen Smith,Pontypridd,Labour,/wiki/Owen_Smith_(politician)
Robert Syms,Poole,Conservative,/wiki/Robert_Syms
Jim Fitzpatrick,Poplar and Limehouse,Labour,/wiki/Jim_Fitzpatrick_(politician)
Penny Mordaunt,Portsmouth North,Conservative,/wiki/Penny_Mordaunt
Stephen Morgan,Portsmouth South,Conservative,/wiki/Stephen_Morgan_(U.K._politician)
Stephen Crabb,Preseli Pembrokeshire,Conservative,/wiki/Stephen_Crabb
Mark Hendrick,Preston,Labour Co-operative,/wiki/Mark_Hendrick
Stuart Andrew,Pudsey,Conservative,/wiki/Stuart_Andrew
Justine Greening,Putney,Conservative,/wiki/Justine_Greening
Mark Francois,Rayleigh and Wickford,Conservative,/wiki/Mark_Francois
Matt Rodda,Reading East,Conservative,/wiki/Matt_Rodda
Alok Sharma,Reading West,Conservative,/wiki/Alok_Sharma
Anna Turley,Redcar,Labour Co-operative,/wiki/Anna_Turley
Rachel Maclean,Redditch,Conservative,/wiki/Rachel_Maclean_(politician)
Crispin Blunt,Reigate,Conservative,/wiki/Crispin_Blunt
Chris Bryant,Rhondda,Labour,/wiki/Chris_Bryant
Nigel Evans,Ribble Valley,Conservative,/wiki/Nigel_Evans
Rishi Sunak,Richmond (Yorks),Conservative,/wiki/Rishi_Sunak
Zac Goldsmith,Richmond Park,Liberal Democrats,/wiki/Zac_Goldsmith
Tony Lloyd,Rochdale,Independent,/wiki/Tony_Lloyd
Kelly Tolhurst,Rochester and Strood,Conservative,/wiki/Kelly_Tolhurst
James Duddridge,Rochford and Southend East,Conservative,/wiki/James_Duddridge
Andrew Rosindell,Romford,Conservative,/wiki/Andrew_Rosindell
Caroline Nokes,Romsey and Southampton North,Conservative,/wiki/Caroline_Nokes
Ian Blackford,"Ross, Skye and Lochaber",SNP,/wiki/Ian_Blackford
Jake Berry,Rossendale and Darwen,Conservative,/wiki/Jake_Berry
Sir Kevin Barron,Rother Valley,Labour,/wiki/Kevin_Barron
Sarah Champion,Rotherham,Labour,/wiki/Sarah_Champion_(politician)
Mark Pawsey,Rugby,Conservative,/wiki/Mark_Pawsey
The Hon. Nick Hurd,"Ruislip, Northwood and Pinner",Conservative,/wiki/Nick_Hurd
Philip Hammond,Runnymede and Weybridge,Conservative,/wiki/Philip_Hammond
Kenneth Clarke,Rushcliffe,Conservative,/wiki/Kenneth_Clarke
Ged Killen,Rutherglen and Hamilton West,SNP,/wiki/Gerard_Killen
Sir Alan Duncan,Rutland and Melton,Conservative,/wiki/Alan_Duncan
Kemi Badenoch,Saffron Walden,Conservative,/wiki/Kemi_Badenoch
Rebecca Long-Bailey,Salford and Eccles,Labour,/wiki/Rebecca_Long-Bailey
John Glen,Salisbury,Conservative,/wiki/John_Glen_(Conservative_politician)
Robert Goodwill,Scarborough and Whitby,Conservative,/wiki/Robert_Goodwill
Nic Dakin,Scunthorpe,Labour,/wiki/Nic_Dakin
Phil Wilson,Sedgefield,Labour,/wiki/Phil_Wilson_(British_politician)
Bill Esterson,Sefton Central,Labour,/wiki/Bill_Esterson
Nigel Adams,Selby and Ainsty,Conservative,/wiki/Nigel_Adams
Sir Michael Fallon,Sevenoaks,Conservative,/wiki/Michael_Fallon
Paul Blomfield,Sheffield Central,Labour,/wiki/Paul_Blomfield
Clive Betts,Sheffield South East,Labour,/wiki/Clive_Betts
Gill Furniss,"Sheffield, Brightside and Hillsborough",Labour,/wiki/Gill_Furniss
Jared O'Mara,"Sheffield, Hallam",Liberal Democrats,/wiki/Jared_O%27Mara
Louise Haigh,"Sheffield, Heeley",Labour Co-operative,/wiki/Louise_Haigh
Mark Spencer,Sherwood,Conservative,/wiki/Mark_Spencer_(British_politician)
Philip Davies,Shipley,Conservative,/wiki/Philip_Davies
Daniel Kawczynski,Shrewsbury and Atcham,Conservative,/wiki/Daniel_Kawczynski
Gordon Henderson,Sittingbourne and Sheppey,Conservative,/wiki/Gordon_Henderson_(politician)
Julian Smith,Skipton and Ripon,Conservative,/wiki/Julian_Smith_(politician)
Caroline Johnson,Sleaford and North Hykeham,Conservative,/wiki/Caroline_Johnson
Tan Dhesi,Slough,Labour,/wiki/Tanmanjeet_Singh_Dhesi
Julian Knight,Solihull,Conservative,/wiki/Julian_Knight_(politician)
David Warburton,Somerton and Frome,Conservative,/wiki/David_Warburton
Paul Girvan,South Antrim,UUP,/wiki/Paul_Girvan
Stephen Metcalfe,South Basildon and East Thurrock,Conservative,/wiki/Stephen_Metcalfe_(politician)
Heidi Allen,South Cambridgeshire,Conservative,/wiki/Heidi_Allen
Heather Wheeler,South Derbyshire,Conservative,/wiki/Heather_Wheeler
Richard Drax,South Dorset,Conservative,/wiki/Richard_Drax
Chris Hazzard,South Down,SDLP,/wiki/Chris_Hazzard
Lucy Frazer,South East Cambridgeshire,Conservative,/wiki/Lucy_Frazer
Sheryll Murray,South East Cornwall,Conservative,/wiki/Sheryll_Murray
John Hayes,South Holland and The Deepings,Conservative,/wiki/John_Henry_Hayes
Alberto Costa,South Leicestershire,Conservative,/wiki/Alberto_Costa_(British_politician)
Richard Bacon,South Norfolk,Conservative,/wiki/Richard_Bacon_(politician)
Andrea Leadsom,South Northamptonshire,Conservative,/wiki/Andrea_Leadsom
Seema Kennedy,South Ribble,Conservative,/wiki/Seema_Kennedy
Emma Lewell-Buck,South Shields,Labour,/wiki/Emma_Lewell-Buck
Gavin Williamson,South Staffordshire,Conservative,/wiki/Gavin_Williamson
James Cartlidge,South Suffolk,Conservative,/wiki/James_Cartlidge
Robert Buckland,South Swindon,Conservative,/wiki/Robert_Buckland
Craig Mackinlay,South Thanet,Conservative,/wiki/Craig_Mackinlay
Andrew Selous,South West Bedfordshire,Conservative,/wiki/Andrew_Selous
Gary Streeter,South West Devon,Conservative,/wiki/Gary_Streeter
David Gauke,South West Hertfordshire,Conservative,/wiki/David_Gauke
Elizabeth Truss,South West Norfolk,Conservative,/wiki/Elizabeth_Truss
Jeremy Hunt,South West Surrey,Conservative,/wiki/Jeremy_Hunt_(politician)
Andrew Murrison,South West Wiltshire,Conservative,/wiki/Andrew_Murrison
Royston Smith,"Southampton, Itchen",Conservative,/wiki/Royston_Smith_(politician)
Alan Whitehead,"Southampton, Test",Labour,/wiki/Alan_Whitehead
Sir David Amess,Southend West,Conservative,/wiki/David_Amess
Damien Moore,Southport,Liberal Democrats,/wiki/Damien_Moore
Kwasi Kwarteng,Spelthorne,Conservative,/wiki/Kwasi_Kwarteng
Anne Main,St Albans,Conservative,/wiki/Anne_Main
Steve Double,St Austell and Newquay,Conservative,/wiki/Steve_Double
Conor McGinn,St Helens North,Labour,/wiki/Conor_McGinn
Marie Rimmer,St Helens South and Whiston,Labour,/wiki/Marie_Rimmer
Derek Thomas,St Ives,Conservative,/wiki/Derek_Thomas_(politician)
Jeremy Lefroy,Stafford,Conservative,/wiki/Jeremy_Lefroy
Karen Bradley,Staffordshire Moorlands,Conservative,/wiki/Karen_Bradley
Jonathan Reynolds,Stalybridge and Hyde,Labour Co-operative,/wiki/Jonathan_Reynolds
Stephen McPartland,Stevenage,Conservative,/wiki/Stephen_McPartland
Stephen Kerr,Stirling,SNP,/wiki/Stephen_Kerr
Ann Coffey,Stockport,Labour,/wiki/Ann_Coffey
Alex Cunningham,Stockton North,Labour,/wiki/Alex_Cunningham
Paul Williams,Stockton South,Conservative,/wiki/Paul_Williams_(Labour_politician)
Gareth Snell,Stoke-on-Trent Central,Labour Co-operative,/wiki/Gareth_Snell
Ruth Smeeth,Stoke-on-Trent North,Labour,/wiki/Ruth_Smeeth
Jack Brereton,Stoke-on-Trent South,Labour,/wiki/Jack_Brereton
Sir Bill Cash,Stone,Conservative,/wiki/Bill_Cash
Margot James,Stourbridge,Conservative,/wiki/Margot_James
